tripid,haulno,gear,faddescription,shotdate,shottime,shotdepth,shotlatdeg,shotlatmins,shotlondeg,shotlonmins,hauldate,haulquarter,haultime,hauldepth,haullatdeg,haullatmins,haullondeg,haullonmins,icesdivision,haulicesrectangle,haulwindspeed,haulwindbeaufort,haulwinddirectiion,haulwindcompass,towduration,towcorrection,BAIT_TYPE,CETACEAN_MITIGATION_DEVICES,CHAIN_MAT,COD_END_MESH_MM,COD_END_TWINE_CONSTRUCTION,COD_END_TWINE_DIA_MM,COMBINED_BEAM_LENGTH_M,COMBINED_FISHING_LINE_LENGTHM,CONDITION_OF_NET,DOOR_SPREAD_ESTM,ENTRANCE_SIZE_MM,ESTIMATED_DOOR_SPREAD_M,FOOTROPE_LENGTH_M,GILLNET_TWINE_CONSTRUCTION,GILLNET_TWINE_DIAMETER_MM,HANGING_RATIO,HANGING_RATIO_3,HEADROPE_LENGTH_M,HOOK_SIZE,INDIVIDUAL_BEAM_LENGTH_M,INNER_MESH_SIZE_MM,INNER_TWINE_DIAMETER,LENGTH_OF_FISHING_LINE_M,LENGTH_OF_STRING_M,LENGTH_OF_TIER_OR_FLEET_M,MESH_SIZE_IN_DIAMOND_PANEL_MM,MESH_SIZE_IN_SQUARE_MESH_PANEL_MM,MESH_SIZE_MM,MESHES_DEEP_INNER_ONLY_NET,MESHES_DEEP_OUTER_NET,NUMBER_OF_HOOKS_IN_STRING,NUMBER_OF_LINES,NUMBER_OF_NETS_IN_TIER,NUMBER_OF_POTS_IN_STRING,NUMBER_OF_TEETH_ON_A_SINGLE_DREDGE,NUMBER_OF_TICKLER_CHAINS,OUTER_MESH_SIZE_MM,OUTER_TWINE_DIAMETER,RING_DIAMETER_MM,SELECTIVITY,SELECTIVITY_DEVICE,SPREAD_BETWEEN_VESSELS_ESTM,SQUARE_MESH_SIZE_MM,TOTAL_NUMBER_OF_DREDGES_USED,VEIL_MESH_SIZE_MM,WIDTH_OD_INDIVIDUAL_DREDGE_M,WIDTH_OF_INDIVIDUAL_DREDGE_M,CHECK
AE221NT,2,14,Twin Nephrops otter trawl,16/02/2021,11:39:00,93,55,17,-1,-7,16/02/2021,1,15:08:00,93,55,17,-1,-9,IVB,39E8,NULL,NULL,NULL,NULL,209,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE222NT,1,13,Nephrops otter trawl,23/03/2022,05:40:00,97,55,15,-1,-5,23/03/2022,1,10:00:00,83,55,9,0,-55,IVB,39E9,NULL,01-Feb,NULL,S  ,260,NULL,NULL,NULL,NULL,98,Single Braided,5,NULL,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE222NT,2,13,Nephrops otter trawl,23/03/2022,11:05:00,82,55,12,0,-51,23/03/2022,1,15:25:00,93,55,21,-1,-3,IVB,39E8,NULL,01-Feb,NULL,S  ,260,NULL,NULL,NULL,NULL,98,Single Braided,5,NULL,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE223NT,4,14,Twin Nephrops otter trawl,10/08/2023,18:53:00,91.4,55,34,0,-56,10/08/2023,3,22:03:00,91.4,55,28,0,-47,IVB,39E9,NULL,0,NULL,NULL,190,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE223NT,5,14,Twin Nephrops otter trawl,11/08/2023,04:34:00,91.4,55,34,0,-52,11/08/2023,3,07:58:00,91.4,55,31,0,-54,IVB,40E9,NULL,NULL,NULL,NULL,204,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE319NT,1,13,Nephrops otter trawl,09/07/2019,19:55:00,38,55,15,-1,-29,09/07/2019,3,23:35:00,43,55,12,-1,-27,IVB,39E8,NULL,02-Mar,NULL,SW ,220,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,160,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE319NT,2,13,Nephrops otter trawl,09/07/2019,23:55:00,43,55,12,-1,-27,10/07/2019,3,04:40:00,37,55,16,-1,-29,IVB,39E8,NULL,1,NULL,SW ,285,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,160,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE321NT,1,13,Nephrops otter trawl,10/06/2021,19:05:00,37,55,21,-1,-28,10/06/2021,2,23:45:00,37,55,17,-1,-27,IVB,39E8,NULL,NULL,NULL,NULL,280,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE321NT,2,13,Nephrops otter trawl,11/06/2021,00:45:00,37,55,18,-1,-28,11/06/2021,2,04:15:00,37,55,28,-1,-29,IVB,39E8,NULL,NULL,NULL,NULL,210,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE322NT,1,13,Nephrops otter trawl,03/08/2022,19:00:00,37,55,16,-1,-29,03/08/2022,3,22:30:00,37,55,12,-1,-27,IVB,39E8,NULL,NULL,NULL,NULL,210,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,0
AE322NT,2,13,Nephrops otter trawl,04/08/2022,02:30:00,37,55,16,-1,-29,04/08/2022,3,05:30:00,37,55,12,-1,-26,IVB,39E8,NULL,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,0
AE419NT,1,14,Twin Nephrops otter trawl,18/09/2019,06:25:00,101,55,28,-1,-8,18/09/2019,3,09:55:00,88,55,21,-1,-9,IVB,39E8,NULL,02-Mar,NULL,SW ,210,NULL,NULL,NULL,NULL,105,Single Braided,5,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE419NT,2,14,Twin Nephrops otter trawl,18/09/2019,10:20:00,88,55,21,-1,-9,18/09/2019,3,15:20:00,102,55,31,-1,-5,IVB,40E8,NULL,01-Feb,NULL,SW ,300,NULL,NULL,NULL,NULL,105,Single Braided,5,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE419NT,3,14,Twin Nephrops otter trawl,18/09/2019,15:45:00,102,55,31,-1,-5,18/09/2019,3,19:50:00,92,55,19,-1,-7,IVB,39E8,NULL,2,NULL,SSW,245,NULL,NULL,NULL,NULL,105,Single Braided,5,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE421NT,1,14,Twin Nephrops otter trawl,19/07/2021,18:17:00,92,55,27,-1,-9,19/07/2021,3,22:36:00,101,55,33,-1,0,IVB,40E9,NULL,NULL,NULL,NULL,259,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,80,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE421NT,2,14,Twin Nephrops otter trawl,20/07/2021,03:51:00,110,55,33,0,-59,20/07/2021,3,08:40:00,93,55,29,-1,-7,IVB,39E8,NULL,NULL,NULL,NULL,289,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,80,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE422NT,1,14,Twin Nephrops otter trawl,29/11/2022,07:20:00,94.5,55,21,-1,-4,29/11/2022,4,11:35:00,89,55,17,0,-59,IVB,39E9,NULL,01-Feb,NULL,S  ,255,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE422NT,2,14,Twin Nephrops otter trawl,29/11/2022,12:15:00,88.7,55,18,0,-59,29/11/2022,4,16:15:00,91,55,18,0,-58,IVB,39E9,NULL,01-Feb,NULL,S  ,240,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE521NT,1,14,Twin Nephrops otter trawl,20/07/2021,18:13:00,97,55,29,-1,-9,20/07/2021,3,22:19:00,102,55,30,-1,-7,IVB,40E8,NULL,NULL,NULL,NULL,246,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE521NT,3,14,Twin Nephrops otter trawl,21/07/2021,04:04:00,86,55,24,-1,-11,21/07/2021,3,06:35:00,84,55,19,-1,-9,IVB,39E8,NULL,NULL,NULL,NULL,151,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE621NT,3,14,Twin Nephrops otter trawl,29/07/2021,07:56:00,102,55,31,-1,-5,29/07/2021,3,11:48:00,110,55,32,-1,-5,IVB,40E8,NULL,NULL,NULL,NULL,232,NULL,NULL,NULL,NULL,95,Single Braided,NULL,NULL,74,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,160,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE621NT,4,14,Twin Nephrops otter trawl,29/07/2021,12:26:00,106,55,33,-1,-5,29/07/2021,3,16:40:00,106,55,29,-1,-7,IVB,39E8,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,95,Single Braided,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,160,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE719NT,1,14,Twin Nephrops otter trawl,12/11/2019,07:07:00,73,55,25,-1,-10,12/11/2019,4,10:57:00,82,55,17,-1,-9,IVB,39E8,NULL,7,NULL,NNW,230,NULL,NULL,NULL,NULL,95,Single Braided,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,140,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE721NT,1,13,Nephrops otter trawl,10/08/2021,19:15:00,36,52,21,-1,-21,10/08/2021,3,23:00:00,36,52,17,-1,-27,IVB,39E8,NULL,NULL,NULL,NULL,225,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE721NT,3,13,Nephrops otter trawl,11/08/2021,03:00:00,NULL,55,18,-1,-28,11/08/2021,3,06:00:00,NULL,55,28,-1,-29,IVB,39E8,NULL,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE821NT,1,13,Nephrops otter trawl,14/12/2021,07:30:00,37,55,20,-1,-29,14/12/2021,4,11:30:00,37,55,20,-1,-27,IVB,39E8,NULL,NULL,NULL,NULL,240,NULL,NULL,NULL,NULL,90,Single Braided,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE821NT,2,13,Nephrops otter trawl,14/12/2021,11:30:00,37,55,20,-1,-27,14/12/2021,4,15:30:00,37,55,20,-1,-29,IVB,39E8,NULL,NULL,NULL,NULL,240,NULL,NULL,NULL,NULL,90,Single Braided,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AX122HL,1,72,Hand lines (incl. gurdy),02/09/2022,11:50:00,33,50,34,-3,-5,02/09/2022,3,12:25:00,33,50,34,-3,-5,VIIE,30E6,NULL,2,NULL,E  ,35,NULL,ARTIFICIAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
AX122HL,2,72,Hand lines (incl. gurdy),02/09/2022,13:00:00,49,50,29,-2,-59,02/09/2022,3,14:10:00,49,50,29,-2,-59,VIIE,29E7,NULL,2,NULL,E  ,70,NULL,ARTIFICIAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
AX122HL,3,72,Hand lines (incl. gurdy),02/09/2022,14:20:00,50,50,28,-3,0,02/09/2022,3,14:45:00,50,50,28,-3,0,VIIE,29E7,NULL,2,NULL,E  ,25,NULL,ARTIFICIAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
