TripIdentifier,HaulNo,SFSGear,faddescription,shotdate,shottime,shotdepth,shotlatdeg,shotlatmins,shotlondeg,shotlonmins,hauldate,haulquarter,haultime,hauldepth,haullatdeg,haullatmins,haullondeg,haullonmins,icesdivision,haulicesrectangle,TowDurationMin,TowCorrectionMin,BaitTypeId,CetaceanMitigationDeviceId,ChainMat,CodEndMeshMm,CodEndTwineConstructionId,CodEndTwineDiameterMm,CombinedBeamLengthM,CombinedFishingLineLengthM,NetConditionId,DoorSpreadM,EntranceSizeMm,WingSpreadM,FootRopeLengthM,GillnetTwineConstructionId,GillnetTwineDiameterMm,HangingRatio,HeadRopeLengthM,HookSizeId,IndividualBeamLengthM,InnerMeshSizeMm,InnerTwineDiameterMm,LengthOfFishingLineM,LengthOfStringM,LengthOfTierOrFleetM,MeshSizeInDiamondPanelMm,MeshSizeInSqualreMeshPanelMm,MeshSizeMm,MeshesDeepInnerOnlyNet,MeshesDeepOuterNet,NetOpeningM,NumberOfDredgesPerBeam,NumberOfHooksInString,NumberOfLines,NumberOfNetsInTier,NumberOfPotsInString,NumberOfPotsSampled,NumberOfTeethOnSingleDredge,NumberOfTicklerChains,OuterMeshSizeMm,OuterTwineDiameterMm,RingDiameterMm,SelectivityDeviceId,SpreadBetweenVesselEstimateM,SweepLengthM,TicklerCountId,TotalNumberOfDredgesUsed,VeilMeshSizeMm,WarpDensityKgPerM,WarpDiameterMm,WarpLengthM,WidthOfIndividualDredgeM,WingSpreadM,CHECK
BH1423NT,1,44,Twin Nephrop Otter Trawl,09/11/2023,06:38:00,91.4,55,12,-1,-6,09/11/2023,4,09:45:00,91.4,55,18,0,-60,IVb,39E8,187,0,NULL,NULL,NULL,100,8,5,NULL,NULL,NULL,91.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1423NT,2,44,Twin Nephrop Otter Trawl,09/11/2023,10:13:00,91.4,55,18,0,-60,09/11/2023,4,13:00:00,91.4,55,17,0,-60,IVb,39E9,167,0,NULL,NULL,NULL,100,8,5,NULL,NULL,NULL,91.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1423NT,3,44,Twin Nephrop Otter Trawl,09/11/2023,13:35:00,87.8,55,16,0,-60,09/11/2023,4,16:54:00,87.8,55,10,-1,-6,IVb,39E9,199,0,NULL,NULL,NULL,100,8,5,NULL,NULL,NULL,91.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
BH1623NT,1,22,Nephrops Otter Trawl,17/11/2023,06:30:00,64,55,9,-1,-15,17/11/2023,4,10:25:00,73.7,55,18,-1,-12,IVb,39E8,235,0,NULL,NULL,NULL,95,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.5,NULL,NULL,160,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1723NT,1,22,Nephrops Otter Trawl,01/12/2023,07:00:00,55,55,9,-1,-15,01/12/2023,4,10:30:00,55,55,17,-1,-12,IVb,39E8,210,0,NULL,NULL,NULL,90,6,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1723NT,2,22,Nephrops Otter Trawl,01/12/2023,11:00:00,30,55,17,-1,-12,01/12/2023,4,14:00:00,55,55,9,-1,-15,IVb,39E8,180,0,NULL,NULL,NULL,90,6,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH923NT,1,22,Nephrops Otter Trawl,23/08/2023,18:45:00,43.5,55,10,-1,-25,23/08/2023,3,21:35:00,40.4,55,15,-1,-28,IVb,39E8,170,0,NULL,NULL,NULL,95,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL,300,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH923NT,2,22,Nephrops Otter Trawl,23/08/2023,22:05:00,39.9,55,15,-1,-28,24/08/2023,3,01:00:00,40.2,55,13,-1,-27,IVb,39E8,175,0,NULL,NULL,NULL,95,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL,300,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,1,2,Beam Trawl Unspecified,25/09/2023,17:25:00,57,50,17,-3,-1,25/09/2023,3,19:40:00,57,50,15,-3,-1,VIIe,29E6,135,0,NULL,NULL,NULL,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,5,2,Beam Trawl Unspecified,26/09/2023,03:30:00,61,50,16,-2,-55,26/09/2023,3,05:45:00,61,50,13,-51,-52,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,6,2,Beam Trawl Unspecified,26/09/2023,06:00:00,60,50,13,-2,-51,26/09/2023,3,08:15:00,59,50,9,-2,-40,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,7,2,Beam Trawl Unspecified,26/09/2023,08:30:00,59,50,8,-2,-39,26/09/2023,3,10:30:00,61,50,6,-2,-40,VIIe,29E7,120,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,8,2,Beam Trawl Unspecified,26/09/2023,11:00:00,61,50,6,-2,-41,26/09/2023,3,13:00:00,60,50,5,-2,-38,VIIe,29E7,120,0,NULL,NULL,NULL,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,9,2,Beam Trawl Unspecified,26/09/2023,13:20:00,61,50,6,-2,-37,26/09/2023,3,15:20:00,64,50,8,-2,-39,VIIe,29E7,120,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,10,2,Beam Trawl Unspecified,26/09/2023,15:40:00,65,50,8,-2,-40,26/09/2023,3,17:40:00,65,50,7,-2,-38,VIIe,29E7,120,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,14,2,Beam Trawl Unspecified,27/09/2023,01:15:00,54,50,14,-2,-56,27/09/2023,3,03:25:00,54,50,17,-2,-58,VIIe,29E7,130,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,15,2,Beam Trawl Unspecified,27/09/2023,03:40:00,60,50,17,-2,-58,27/09/2023,3,05:45:00,59,50,17,-2,-56,VIIe,29E7,125,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,16,2,Beam Trawl Unspecified,27/09/2023,06:00:00,61,50,16,-2,-56,27/09/2023,3,08:15:00,42,50,18,-2,-53,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,17,2,Beam Trawl Unspecified,27/09/2023,08:30:00,54,50,18,-2,-53,27/09/2023,3,10:55:00,57,50,12,-2,-51,VIIe,29E7,145,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,18,2,Beam Trawl Unspecified,27/09/2023,11:15:00,58,50,12,-2,-45,27/09/2023,3,13:30:00,56,50,16,-2,-55,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,24,2,Beam Trawl Unspecified,28/09/2023,02:00:00,55,50,16,-3,0,28/09/2023,3,04:15:00,60,50,16,-2,-57,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,26,2,Beam Trawl Unspecified,28/09/2023,07:00:00,49,50,18,-2,-53,28/09/2023,3,09:15:00,54,50,11,-2,-54,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,28,2,Beam Trawl Unspecified,28/09/2023,12:10:00,64,50,5,-3,-5,28/09/2023,3,14:25:00,64,49,54,-3,-10,VIIe,29E6,135,0,NULL,NULL,NULL,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,29,2,Beam Trawl Unspecified,28/09/2023,14:40:00,66.4,49,56,-3,-11,28/09/2023,3,16:55:00,70,49,55,-3,-7,VIIe,28E6,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,33,2,Beam Trawl Unspecified,29/09/2023,00:35:00,52,50,18,-2,-56,29/09/2023,3,02:50:00,55.8,50,10,-2,-56,VIIe,29E7,135,0,NULL,NULL,NULL,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,36,2,Beam Trawl Unspecified,29/09/2023,08:05:00,52,50,18,-2,-56,29/09/2023,3,10:20:00,59,50,11,-2,-55,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,37,2,Beam Trawl Unspecified,29/09/2023,10:35:00,56,50,10,-2,-55,29/09/2023,3,12:50:00,61,50,7,-3,-4,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,38,2,Beam Trawl Unspecified,29/09/2023,13:05:00,62,50,7,-3,-4,29/09/2023,3,15:20:00,65.2,50,5,-3,-13,VIIe,29E6,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,39,2,Beam Trawl Unspecified,29/09/2023,15:35:00,65.8,50,5,-3,-13,29/09/2023,3,17:50:00,46.6,50,7,-3,-1,VIIe,29E6,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,40,2,Beam Trawl Unspecified,29/09/2023,18:00:00,64.3,50,8,-3,0,29/09/2023,3,20:15:00,58,50,15,-2,-58,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,41,2,Beam Trawl Unspecified,29/09/2023,20:30:00,58,50,16,-2,-58,29/09/2023,3,22:45:00,52,50,18,-2,-58,VIIe,29E7,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,44,2,Beam Trawl Unspecified,30/09/2023,04:00:00,66.4,50,4,-3,-12,30/09/2023,3,06:15:00,59.6,50,9,-3,-2,VIIe,29E6,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BM1023BT,45,2,Beam Trawl Unspecified,30/09/2023,06:25:00,63.4,50,89,-3,-2,30/09/2023,3,08:40:00,56,50,17,-3,-2,VIIf,31E6,135,0,NULL,NULL,1,90,8,4.5,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
